Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000073678	Pgap1	-0.31	5.05	0.32	0.95
ENSMUSG00000101130	Gm19637	2.05	-2.39	0.54	1.00
ENSMUSG00000052331	Ankrd44	0.69	4.63	0.00	0.05
ENSMUSG00000025982	Sf3b1	0.30	7.94	0.22	0.77
ENSMUSG00000025981	Coq10b	0.20	4.17	0.63	1.00
ENSMUSG00000101122	Gm17971	-0.50	1.75	0.44	1.00
ENSMUSG00000025980	Hspd1	0.07	5.06	0.91	1.00
ENSMUSG00000073676	Hspe1	0.21	6.34	0.42	1.00
ENSMUSG00000089670	Gm16581	-2.47	-2.80	0.84	1.00
ENSMUSG00000025979	Mob4	-0.07	7.21	0.91	1.00
ENSMUSG00000061863	Gm6822	0.57	-1.89	0.94	1.00
ENSMUSG00000025978	Rftn2	-0.30	4.57	0.32	0.95
ENSMUSG00000046994	Mars2	-0.12	3.20	0.85	1.00
ENSMUSG00000025977	Boll	-2.86	-2.06	0.53	1.00
ENSMUSG00000100215	Gm8292	0.17	7.52	0.78	1.00
ENSMUSG00000038349	Plcl1	0.16	5.42	0.68	1.00
ENSMUSG00000099950	9130227L01Rik	-0.52	-2.32	1.00	1.00
ENSMUSG00000100944	Gm28900	0.34	1.80	0.48	1.00
ENSMUSG00000038331	Satb2	-0.78	4.32	0.02	0.15
ENSMUSG00000101429	BC055402	0.58	-1.08	0.72	1.00
ENSMUSG00000097519	4930558J18Rik	1.80	-1.67	0.23	0.79
ENSMUSG00000038323	1700066M21Rik	-0.45	3.36	0.09	0.45
ENSMUSG00000048495	Tyw5	0.25	4.05	0.49	1.00
ENSMUSG00000025971	Maip1	0.87	4.59	0.00	0.00
ENSMUSG00000101826	Gm8581	-0.64	-0.37	0.56	1.00
ENSMUSG00000038305	Spats2l	0.00	5.50	1.00	1.00
ENSMUSG00000054770	Kctd18	0.25	4.34	0.48	1.00
ENSMUSG00000026039	Sgol2a	1.11	1.23	0.01	0.05
ENSMUSG00000063558	Aox1	0.37	3.15	0.33	0.96
ENSMUSG00000064294	Aox3	0.58	0.23	0.47	1.00
ENSMUSG00000038242	Aox4	-0.42	-1.00	0.86	1.00
ENSMUSG00000079554	Aox2	0.56	-1.74	0.98	1.00
ENSMUSG00000051223	Bzw1	0.27	6.54	0.35	0.99
ENSMUSG00000026034	Clk1	0.09	6.47	0.88	1.00
ENSMUSG00000026035	Ppil3	-0.27	4.08	0.66	1.00
ENSMUSG00000026036	Nif3l1	0.12	4.05	0.81	1.00
ENSMUSG00000026037	Orc2	0.09	4.55	0.98	1.00
ENSMUSG00000085054	Gm15834	-0.46	3.22	0.40	1.00
ENSMUSG00000038174	Fam126b	-0.16	7.39	0.61	1.00
ENSMUSG00000026032	Ndufb3	-0.16	7.54	0.65	1.00
ENSMUSG00000059647	Cbx3-ps7	-0.43	6.43	0.03	0.22
ENSMUSG00000047528	Als2cr12	-1.50	-2.05	0.56	1.00
ENSMUSG00000102059	Gm20257	1.08	0.30	0.11	0.52
ENSMUSG00000026031	Cflar	1.69	5.81	0.00	0.00
ENSMUSG00000100236	Gm3841	-0.64	-2.44	1.00	1.00
ENSMUSG00000026029	Casp8	2.29	2.25	0.00	0.00
ENSMUSG00000099719	Gm28802	2.01	-2.81	1.00	1.00
ENSMUSG00000026028	Trak2	-0.02	6.05	1.00	1.00
ENSMUSG00000026027	Stradb	-0.47	4.51	0.18	0.68
ENSMUSG00000047383	Als2cr11b	4.04	-2.39	0.34	0.98
ENSMUSG00000072295	Als2cr11	1.41	-2.58	0.90	1.00
ENSMUSG00000038079	Tmem237	-0.39	5.20	0.12	0.54
ENSMUSG00000079550	Mpp4	0.01	1.45	1.00	1.00
ENSMUSG00000026024	Als2	-0.29	3.96	0.41	1.00
ENSMUSG00000026023	Cdk15	-0.98	1.44	0.03	0.20
ENSMUSG00000041075	Fzd7	0.76	2.52	0.01	0.11
ENSMUSG00000097819	Gm26813	-2.85	-2.26	0.65	1.00
ENSMUSG00000047361	Gm973	-0.23	3.27	0.59	1.00
ENSMUSG00000026021	Sumo1	0.21	5.52	0.51	1.00
ENSMUSG00000101400	Gm29596	-2.03	-1.67	0.15	0.60
ENSMUSG00000026020	Nop58	0.19	6.41	0.48	1.00
ENSMUSG00000067336	Bmpr2	-0.24	7.23	0.40	1.00
ENSMUSG00000041040	Fam117b	0.27	5.76	0.42	1.00
ENSMUSG00000026018	Ica1l	-0.44	4.49	0.15	0.61
ENSMUSG00000026019	Wdr12	-0.40	4.77	0.12	0.53
ENSMUSG00000026017	Carf	-0.28	4.74	0.35	0.99
ENSMUSG00000082609	Gm15464	0.07	8.41	0.92	1.00
ENSMUSG00000073664	Nbeal1	-0.33	5.76	0.16	0.64
ENSMUSG00000049439	Cyp20a1	0.33	3.61	0.38	1.00
ENSMUSG00000026782	Abi2	-0.26	7.60	0.23	0.79
ENSMUSG00000026014	Raph1	-0.18	6.79	0.56	1.00
ENSMUSG00000081562	Gm11575	-0.33	-2.81	1.00	1.00
ENSMUSG00000084400	Gm11576	1.52	-2.89	1.00	1.00
ENSMUSG00000082160	Gm11578	-0.70	-0.57	0.64	1.00
ENSMUSG00000084151	Gm11577	2.28	-2.80	0.88	1.00
ENSMUSG00000101188	Eif4a-ps4	0.73	0.15	0.44	1.00
ENSMUSG00000026012	Cd28	2.49	0.91	0.00	0.01
ENSMUSG00000085965	2310016D23Rik	1.53	-2.89	1.00	1.00
ENSMUSG00000083355	Gm11581	2.25	-2.80	0.84	1.00
ENSMUSG00000026011	Ctla4	4.39	0.35	0.00	0.00
ENSMUSG00000081382	Rpl18-ps1	0.82	4.52	0.00	0.01
ENSMUSG00000026009	Icos	4.67	2.08	0.00	0.00
ENSMUSG00000082804	Rpl17-ps1	0.42	0.72	0.53	1.00
ENSMUSG00000085248	Gm11587	-2.43	-2.80	0.88	1.00
ENSMUSG00000085447	9530026F06Rik	-1.46	-2.65	0.93	1.00
ENSMUSG00000052062	Pard3b	0.29	3.34	0.48	1.00
ENSMUSG00000084333	Gm11599	0.39	0.38	0.75	1.00
ENSMUSG00000025969	Nrp2	0.00	5.35	1.00	1.00
ENSMUSG00000100426	Gm4208	0.21	-2.16	1.00	1.00
ENSMUSG00000040865	Ino80d	0.20	4.78	0.53	1.00
ENSMUSG00000081429	Rps27-ps1	2.74	-2.67	0.77	1.00
ENSMUSG00000084799	Ino80dos	-0.40	0.58	0.65	1.00
ENSMUSG00000101599	Gm20342	-0.77	4.27	0.01	0.08
ENSMUSG00000025968	Ndufs1	-0.41	7.51	0.04	0.24
ENSMUSG00000025967	Eef1b2	0.07	7.82	0.89	1.00
ENSMUSG00000046856	Gpr1	-0.65	-1.17	0.75	1.00
ENSMUSG00000027520	Zdbf2	-1.00	4.94	0.00	0.00
ENSMUSG00000081643	Gm11605	-0.50	0.52	0.57	1.00
ENSMUSG00000025964	Adam23	-0.44	6.54	0.02	0.14
ENSMUSG00000069085	Dytn	1.43	-2.28	0.72	1.00
ENSMUSG00000025963	Mdh1b	0.40	-0.27	0.78	1.00
ENSMUSG00000025962	Fastkd2	-0.25	3.48	0.60	1.00
ENSMUSG00000025961	4933402D24Rik	0.67	-1.85	0.88	1.00
ENSMUSG00000080817	Gm13751	-0.02	-1.86	1.00	1.00
ENSMUSG00000082373	Gm13754	-1.57	-0.36	0.14	0.58
ENSMUSG00000025959	Klf7	0.08	7.64	0.90	1.00
ENSMUSG00000097272	Gm26649	1.70	-2.51	0.74	1.00
ENSMUSG00000086721	Gm13750	-0.77	-0.44	0.48	1.00
ENSMUSG00000101895	Gm28981	-3.88	-2.51	0.37	1.00
ENSMUSG00000099658	Gm28980	-1.12	-2.73	1.00	1.00
ENSMUSG00000025958	Creb1	-0.30	6.24	0.25	0.83
ENSMUSG00000025956	Mettl21a	-0.20	3.10	0.73	1.00
ENSMUSG00000101832	Gm28982	4.35	-2.23	0.09	0.46
ENSMUSG00000087213	2810408I11Rik	0.18	-1.63	1.00	1.00
ENSMUSG00000070871	Ccnyl1	-0.10	3.31	0.90	1.00
ENSMUSG00000045005	Fzd5	0.91	0.86	0.10	0.46
ENSMUSG00000051344	Plekhm3	-0.02	4.57	1.00	1.00
ENSMUSG00000084416	Rpl10a-ps1	0.16	5.52	0.71	1.00
ENSMUSG00000025955	Akr1cl	-0.24	1.38	0.75	1.00
ENSMUSG00000090042	Gm8550	2.00	-0.30	0.03	0.19
ENSMUSG00000067299	Crygd	1.39	-2.89	1.00	1.00
ENSMUSG00000025952	Crygc	-0.17	-2.80	1.00	1.00
ENSMUSG00000100774	Gm7329	-0.72	0.02	0.43	1.00
ENSMUSG00000044429	Cryga	0.53	-0.16	0.69	1.00
ENSMUSG00000044816	D630023F18Rik	0.28	1.43	0.74	1.00
ENSMUSG00000025950	Idh1	-0.03	4.68	1.00	1.00
ENSMUSG00000025949	Pikfyve	0.15	5.20	0.70	1.00
ENSMUSG00000025946	Pth2r	-0.01	-2.21	1.00	1.00
ENSMUSG00000100503	Gm28927	-3.59	-2.58	0.46	1.00
ENSMUSG00000082774	Gm8805	0.54	2.39	0.13	0.55
ENSMUSG00000025945	Crygf	1.52	-2.89	1.00	1.00
ENSMUSG00000083242	Gm15659	1.53	-2.89	1.00	1.00
ENSMUSG00000015222	Map2	-0.20	9.85	0.47	1.00
ENSMUSG00000055567	Unc80	-0.59	7.90	0.00	0.04
ENSMUSG00000026005	Rpe	0.28	3.62	0.81	1.00
ENSMUSG00000026004	Kansl1l	-0.02	3.35	1.00	1.00
ENSMUSG00000082057	Gm15789	1.36	-0.46	0.08	0.40
ENSMUSG00000026003	Acadl	0.52	5.58	0.02	0.17
ENSMUSG00000082769	Gm15793	0.53	-2.51	0.97	1.00
ENSMUSG00000061816	Myl1	1.18	1.01	0.04	0.23
ENSMUSG00000094191	Rpl31-ps14	0.66	0.36	0.42	1.00
ENSMUSG00000082212	Gm15826	1.39	-2.89	1.00	1.00
ENSMUSG00000026000	Lancl1	-0.34	6.65	0.12	0.53
ENSMUSG00000025991	Cps1	-1.09	-1.58	0.51	1.00
ENSMUSG00000062209	Erbb4	-0.42	4.83	0.16	0.63
ENSMUSG00000083795	Gm15670	0.05	-1.05	1.00	1.00
ENSMUSG00000087514	Gm16076	-1.72	-2.88	1.00	1.00
ENSMUSG00000084332	Gm8840	-2.32	-2.51	0.65	1.00
ENSMUSG00000100354	Gm29113	1.59	-1.46	0.14	0.59
ENSMUSG00000025997	Ikzf2	0.26	4.08	0.43	1.00
ENSMUSG00000100815	Gm29112	3.14	-2.65	0.71	1.00
ENSMUSG00000099954	Gm28112	-0.48	-2.01	0.93	1.00
ENSMUSG00000053153	Spag16	0.77	0.28	0.24	0.80
ENSMUSG00000101730	Gm28580	-1.72	-2.88	1.00	1.00
ENSMUSG00000045648	Vwc2l	-0.58	1.47	0.26	0.84
ENSMUSG00000026196	Bard1	2.29	0.53	0.00	0.02
ENSMUSG00000101551	Gm8870	-1.74	-2.88	1.00	1.00
ENSMUSG00000050296	Abca12	-1.09	-1.83	0.53	1.00
ENSMUSG00000026192	Atic	0.16	4.33	0.76	1.00
ENSMUSG00000026193	Fn1	0.54	5.80	0.03	0.20
ENSMUSG00000101834	Gm5829	0.10	-1.65	1.00	1.00
ENSMUSG00000100319	Gm5256	2.08	-2.07	0.42	1.00
ENSMUSG00000101211	Gm28818	-2.48	-2.80	0.88	1.00
ENSMUSG00000101848	4933417E11Rik	1.52	-2.89	1.00	1.00
ENSMUSG00000059483	Gm5528	0.10	-1.48	1.00	1.00
ENSMUSG00000101496	Gm8885	0.66	5.22	0.03	0.19
ENSMUSG00000102123	Gm4319	4.05	-2.34	0.12	0.55
ENSMUSG00000039395	Mreg	0.66	0.61	0.41	1.00
ENSMUSG00000097131	D230017M19Rik	-0.67	2.45	0.08	0.42
ENSMUSG00000026189	Pecr	0.06	1.71	1.00	1.00
ENSMUSG00000026188	Tmem169	-0.32	3.71	0.36	1.00
ENSMUSG00000026187	Xrcc5	0.03	3.68	1.00	1.00
ENSMUSG00000039372	March4	-0.62	3.03	0.03	0.22
ENSMUSG00000085812	Gm15843	0.52	1.40	0.25	0.83
ENSMUSG00000039354	Smarcal1	-0.35	4.25	0.16	0.64
ENSMUSG00000110487	Gm18035	1.39	-2.89	1.00	1.00
ENSMUSG00000046330	Rpl37a	-0.25	6.71	0.59	1.00
ENSMUSG00000039323	Igfbp2	0.27	5.93	0.55	1.00
ENSMUSG00000026185	Igfbp5	0.20	6.86	0.50	1.00
ENSMUSG00000099877	Pinc	-3.65	-2.57	0.36	1.00
ENSMUSG00000100444	C530043A13Rik	-2.10	-2.51	0.79	1.00
ENSMUSG00000100301	6030407O03Rik	-2.02	-1.56	0.07	0.37
ENSMUSG00000101344	Gm29183	-2.59	-2.38	0.35	0.98
ENSMUSG00000055322	Tns1	0.27	5.45	0.49	1.00
ENSMUSG00000061815	Rufy4	0.45	-1.84	1.00	1.00
ENSMUSG00000026180	Cxcr2	0.60	1.36	0.29	0.90
ENSMUSG00000048480	Cxcr1	1.53	-2.89	1.00	1.00
ENSMUSG00000006304	Arpc2	0.26	9.08	0.24	0.81
ENSMUSG00000064272	Gpbar1	-2.97	-2.72	0.77	1.00
ENSMUSG00000006299	Aamp	0.37	7.30	0.30	0.92
ENSMUSG00000026179	Pnkd	-0.30	6.78	0.37	1.00
ENSMUSG00000006301	Tmbim1	0.72	5.72	0.00	0.01
ENSMUSG00000099931	Gm29358	-0.52	1.62	0.78	1.00
ENSMUSG00000073650	Catip	-0.45	0.76	0.55	1.00
ENSMUSG00000026177	Slc11a1	3.72	3.10	0.00	0.00
ENSMUSG00000026176	Ctdsp1	0.36	4.21	0.18	0.69
ENSMUSG00000026175	Vil1	0.38	-1.23	0.90	1.00
ENSMUSG00000033364	Usp37	0.02	3.93	1.00	1.00
ENSMUSG00000026174	Cnot9	0.16	3.86	0.76	1.00
ENSMUSG00000026173	Plcd4	0.16	4.77	0.77	1.00
ENSMUSG00000026135	Zfp142	0.26	4.23	0.79	1.00
ENSMUSG00000026172	Bcs1l	-0.56	3.74	0.09	0.46
ENSMUSG00000026171	Rnf25	-0.28	1.89	0.69	1.00
ENSMUSG00000033276	Stk36	-0.68	1.71	0.12	0.52
ENSMUSG00000033257	Ttll4	-0.17	4.33	0.67	1.00
ENSMUSG00000026170	Cyp27a1	-0.34	2.86	0.45	1.00
ENSMUSG00000006542	Prkag3	0.49	-1.70	0.88	1.00
ENSMUSG00000033227	Wnt6	-0.52	1.28	0.40	1.00
ENSMUSG00000026167	Wnt10a	0.15	2.46	0.90	1.00
ENSMUSG00000089964	Gm16582	-0.34	-2.81	1.00	1.00
ENSMUSG00000090071	Cdk5r2	-0.55	8.61	0.05	0.30
ENSMUSG00000055197	Fev	-2.22	-2.01	0.23	0.79
ENSMUSG00000006546	Cryba2	0.75	-0.28	0.44	1.00
ENSMUSG00000047021	Cfap65	-0.22	1.33	0.84	1.00
ENSMUSG00000006538	Ihh	-2.17	-2.21	0.53	1.00
ENSMUSG00000026162	Nhej1	-0.75	0.85	0.19	0.70
ENSMUSG00000026205	Slc23a3	-0.21	-0.20	0.91	1.00
ENSMUSG00000033159	Cnppd1	0.79	5.45	0.01	0.07
ENSMUSG00000049339	Fam134a	-0.40	7.67	0.05	0.27
ENSMUSG00000026197	Zfand2b	-0.21	3.33	0.71	1.00
ENSMUSG00000026198	Abcb6	-0.88	-2.01	0.72	1.00
ENSMUSG00000033124	Atg9a	-0.06	0.75	1.00	1.00
ENSMUSG00000026199	Ankzf1	-0.42	3.96	0.51	1.00
ENSMUSG00000026200	Glb1l	0.09	2.09	0.98	1.00
ENSMUSG00000026201	Stk16	-0.12	5.58	0.94	1.00
ENSMUSG00000026202	Tuba4a	-0.14	8.46	0.94	1.00
ENSMUSG00000096094	A630095N17Rik	2.31	-2.80	0.88	1.00
ENSMUSG00000026203	Dnajb2	-0.56	5.39	0.01	0.09
ENSMUSG00000026204	Ptprn	-0.33	7.24	0.11	0.50
ENSMUSG00000033061	Resp18	0.03	6.20	1.00	1.00
ENSMUSG00000026209	Dnpep	0.13	5.68	0.78	1.00
ENSMUSG00000026208	Des	0.42	0.70	0.66	1.00
ENSMUSG00000026207	Speg	-0.50	5.39	0.02	0.14
ENSMUSG00000033021	Gmppa	0.15	3.78	0.84	1.00
ENSMUSG00000033007	Asic4	-1.04	2.91	0.00	0.00
ENSMUSG00000032997	Chpf	0.03	5.90	1.00	1.00
ENSMUSG00000026211	Obsl1	-0.34	2.68	0.40	1.00
ENSMUSG00000051703	Tmem198	-0.32	5.00	0.43	1.00
ENSMUSG00000032968	Inha	-0.94	3.48	0.00	0.00
ENSMUSG00000026213	Stk11ip	-0.04	3.63	1.00	1.00
ENSMUSG00000006576	Slc4a3	-0.65	6.50	0.00	0.02
ENSMUSG00000082012	Gm5257	1.35	-2.29	0.72	1.00
ENSMUSG00000100553	Gm17751	-0.17	-1.20	1.00	1.00
ENSMUSG00000100534	Gm816	-0.23	0.32	0.88	1.00
ENSMUSG00000026235	Epha4	-0.38	7.18	0.09	0.43
ENSMUSG00000101849	Gm28386	-0.36	-2.52	1.00	1.00
ENSMUSG00000101506	Gm28385	-0.19	-2.80	1.00	1.00
ENSMUSG00000004872	Pax3	0.40	1.78	0.62	1.00
ENSMUSG00000032908	Sgpp2	-0.45	4.37	0.10	0.47
ENSMUSG00000026245	Farsb	0.23	6.01	0.56	1.00
ENSMUSG00000101798	Gm28995	1.52	-2.89	1.00	1.00
ENSMUSG00000090486	BC035947	-1.66	0.17	0.02	0.14
ENSMUSG00000012187	Mogat1	-1.42	-1.32	0.22	0.76
ENSMUSG00000099364	5730419F03Rik	-0.15	-2.38	1.00	1.00
ENSMUSG00000100562	Gm29611	2.01	-2.81	1.00	1.00
ENSMUSG00000032883	Acsl3	-0.44	7.69	0.03	0.19
ENSMUSG00000079470	Utp14b	0.15	4.65	0.77	1.00
ENSMUSG00000099377	Gm6159	-0.21	3.68	0.64	1.00
ENSMUSG00000047330	Kcne4	0.98	1.45	0.01	0.11
ENSMUSG00000072978	Gm5830	0.44	1.37	0.55	1.00
ENSMUSG00000050711	Scg2	-0.14	7.97	0.66	1.00
ENSMUSG00000054702	Ap1s3	0.29	1.39	0.71	1.00
ENSMUSG00000073643	Wdfy1	0.65	5.60	0.00	0.01
ENSMUSG00000026248	Mrpl44	-0.02	4.34	1.00	1.00
ENSMUSG00000026249	Serpine2	-0.14	8.01	0.66	1.00
ENSMUSG00000067106	Gm5529	-0.76	-2.58	1.00	1.00
ENSMUSG00000100397	Gm28071	1.42	-0.54	0.05	0.31
ENSMUSG00000099552	9830004L10Rik	1.04	-2.65	0.94	1.00
ENSMUSG00000043230	Fam124b	-0.21	-2.80	1.00	1.00
ENSMUSG00000101257	2310015K22Rik	-1.74	-2.88	1.00	1.00
ENSMUSG00000004364	Cul3	0.06	6.47	0.94	1.00
ENSMUSG00000101722	Gm29125	0.50	-2.34	1.00	1.00
ENSMUSG00000090637	Gm6189	3.41	-2.47	0.62	1.00
ENSMUSG00000110100	Gm45261	-1.72	-2.88	1.00	1.00
ENSMUSG00000038608	Dock10	0.13	5.91	0.74	1.00
ENSMUSG00000054976	Nyap2	-0.41	4.49	0.11	0.52
ENSMUSG00000101986	Gm6198	-1.15	0.98	0.01	0.10
ENSMUSG00000087008	Gm5530	1.51	-2.89	1.00	1.00
ENSMUSG00000100561	Gm7516	3.66	-2.51	0.28	0.88
ENSMUSG00000055980	Irs1	0.56	3.31	0.64	1.00
ENSMUSG00000022591	Gm9747	1.51	-2.89	1.00	1.00
ENSMUSG00000026142	Rhbdd1	0.79	2.93	0.02	0.14
ENSMUSG00000067158	Col4a4	-0.23	1.22	0.79	1.00
ENSMUSG00000079465	Col4a3	-0.61	-1.11	0.80	1.00
ENSMUSG00000097564	C430014B12Rik	1.03	-2.65	0.94	1.00
ENSMUSG00000026150	Mff	-0.01	6.91	1.00	1.00
ENSMUSG00000101450	Gm28941	-1.41	-2.65	0.98	1.00
ENSMUSG00000100744	Gm17764	1.16	-2.16	0.87	1.00
ENSMUSG00000026159	Agfg1	-0.02	6.46	1.00	1.00
ENSMUSG00000101784	Gm7553	1.26	-2.34	0.67	1.00
ENSMUSG00000038496	Slc19a3	-1.02	0.75	0.04	0.25
ENSMUSG00000100432	Gm7539	-2.50	-2.80	0.84	1.00
ENSMUSG00000101315	Krtap28-13	1.52	-2.89	1.00	1.00
ENSMUSG00000026166	Ccl20	2.43	-2.74	0.88	1.00
ENSMUSG00000101173	Gm29519	1.51	-2.89	1.00	1.00
ENSMUSG00000053161	Daw1	-0.71	-0.54	0.63	1.00
ENSMUSG00000026163	Sphkap	0.05	7.08	0.94	1.00
ENSMUSG00000079140	Gm6374	-0.51	-0.44	0.63	1.00
ENSMUSG00000100580	4933436I20Rik	-3.87	-2.51	0.55	1.00
ENSMUSG00000045658	Pid1	0.32	5.15	0.18	0.69
ENSMUSG00000036766	Dner	-0.07	7.67	0.91	1.00
ENSMUSG00000026219	Trip12	0.36	7.02	0.06	0.35
ENSMUSG00000073633	Fbxo36	0.16	1.03	0.90	1.00
ENSMUSG00000026220	Slc16a14	-0.55	-0.99	0.75	1.00
ENSMUSG00000096802	Gm15433	2.24	-2.29	0.45	1.00
ENSMUSG00000052477	C130026I21Rik	4.99	-0.77	0.00	0.00
ENSMUSG00000064281	Rpl19-ps1	0.71	3.72	0.01	0.06
ENSMUSG00000089976	Gm2389	0.18	-2.58	1.00	1.00
ENSMUSG00000089844	A530032D15Rik	4.07	-2.39	0.22	0.77
ENSMUSG00000073631	Gm10553	2.43	-2.74	0.88	1.00
ENSMUSG00000090128	Gm16038	3.07	-2.65	0.55	1.00
ENSMUSG00000089716	Gm6264	3.64	-1.16	0.00	0.02
ENSMUSG00000079457	Gm7609	-0.57	4.24	0.06	0.35
ENSMUSG00000079455	Gm16026	3.30	-1.84	0.04	0.25
ENSMUSG00000089937	Gm7281	-5.74	-1.66	0.15	0.62
ENSMUSG00000101751	Gm2427	1.82	-2.45	0.54	1.00
ENSMUSG00000094127	G530012D18Rik	0.51	-2.72	1.00	1.00
ENSMUSG00000070034	Sp110	4.92	2.46	0.00	0.00
ENSMUSG00000070031	Sp140	4.61	2.49	0.00	0.00
ENSMUSG00000026222	Sp100	3.44	4.52	0.00	0.00
ENSMUSG00000052760	A630001G21Rik	2.23	0.65	0.00	0.01
ENSMUSG00000100217	9930111H07Rik	2.01	-2.81	1.00	1.00
ENSMUSG00000036707	Cab39	-0.11	7.47	0.78	1.00
ENSMUSG00000026223	Itm2c	0.30	9.33	0.42	1.00
ENSMUSG00000026224	4933407L21Rik	-1.23	1.19	0.00	0.03
ENSMUSG00000049608	Gpr55	1.29	-1.46	0.45	1.00
ENSMUSG00000100108	Gm28100	1.51	-2.89	1.00	1.00
ENSMUSG00000099342	Gm18180	-0.17	-2.80	1.00	1.00
ENSMUSG00000026226	Spata3	-1.36	-0.74	0.08	0.42
ENSMUSG00000026227	2810459M11Rik	0.06	2.51	1.00	1.00
ENSMUSG00000026229	Psmd1	-0.09	7.83	0.83	1.00
ENSMUSG00000026228	Htr2b	2.53	-0.88	0.00	0.02
ENSMUSG00000062590	Armc9	0.11	3.88	0.84	1.00
ENSMUSG00000079445	B3gnt7	1.38	-0.14	0.06	0.34
ENSMUSG00000101853	Gm28627	2.26	-2.80	0.88	1.00
ENSMUSG00000026234	Ncl	0.37	8.06	0.05	0.31
ENSMUSG00000073627	C130036L24Rik	-0.65	1.88	0.12	0.55
ENSMUSG00000110510	Gm45908	-1.72	-2.88	1.00	1.00
ENSMUSG00000101328	Rpl30-ps6	-1.69	-2.89	1.00	1.00
ENSMUSG00000026238	Ptma	0.69	8.01	0.00	0.00
ENSMUSG00000026239	Pde6d	0.15	4.10	0.84	1.00
ENSMUSG00000026240	Cops7b	0.10	5.15	0.84	1.00
ENSMUSG00000026241	Nppc	0.33	3.00	0.33	0.96
ENSMUSG00000053333	Dis3l2	-0.08	3.89	0.93	1.00
ENSMUSG00000100768	Gm29055	0.41	-0.51	0.84	1.00
ENSMUSG00000084106	Gm6136	-0.07	8.15	0.94	1.00
ENSMUSG00000099839	Gm29374	0.66	-1.65	0.88	1.00
ENSMUSG00000026247	Ecel1	0.38	3.77	0.23	0.79
ENSMUSG00000036480	Prss56	0.37	0.25	0.88	1.00
ENSMUSG00000026254	Eif4e2	-0.15	6.28	0.67	1.00
ENSMUSG00000026255	Efhd1	-0.57	3.81	0.07	0.36
ENSMUSG00000048000	Gigyf2	-0.60	6.13	0.01	0.07
ENSMUSG00000079436	Kcnj13	0.12	2.39	1.00	1.00
ENSMUSG00000026258	3110079O15Rik	-1.45	-1.01	0.29	0.89
ENSMUSG00000026259	Ngef	-1.16	7.37	0.00	0.00
ENSMUSG00000079434	Neu2	-1.67	1.39	0.00	0.00
ENSMUSG00000091123	Gm17181	-1.17	-1.40	0.42	1.00
ENSMUSG00000026288	Inpp5d	2.04	3.91	0.00	0.00
ENSMUSG00000026289	Atg16l1	-0.17	5.78	0.64	1.00
ENSMUSG00000056055	Sag	-0.07	2.37	1.00	1.00
ENSMUSG00000070738	Dgkd	-0.25	6.09	0.32	0.95
ENSMUSG00000005501	Usp40	-0.15	5.07	0.79	1.00
ENSMUSG00000084021	Gm5832	-0.05	-2.21	1.00	1.00
ENSMUSG00000090124	Ugt1a7c	1.25	-1.47	0.48	1.00
ENSMUSG00000054545	Ugt1a6a	2.43	-2.74	0.88	1.00
ENSMUSG00000081602	Gm15369	1.51	-2.89	1.00	1.00
ENSMUSG00000089943	Ugt1a5	-1.74	-2.88	1.00	1.00
ENSMUSG00000081984	Dnajb3	-0.41	0.75	0.62	1.00
ENSMUSG00000079429	Mroh2a	-1.88	-0.44	0.20	0.74
ENSMUSG00000044783	Hjurp	-0.19	5.28	0.65	1.00
ENSMUSG00000036251	Trpm8	4.47	-2.07	0.26	0.85
ENSMUSG00000026295	Spp2	-0.05	-1.60	1.00	1.00
ENSMUSG00000099553	Gm29538	-2.52	-1.14	0.00	0.04
ENSMUSG00000062310	Glrp1	2.43	-0.09	0.00	0.01
ENSMUSG00000100798	Gm19589	1.52	-2.89	1.00	1.00
ENSMUSG00000100367	Gm29336	1.51	-2.89	1.00	1.00
ENSMUSG00000049866	Arl4c	0.79	5.34	0.01	0.06
ENSMUSG00000097398	Platr5	-1.69	-2.89	1.00	1.00
ENSMUSG00000099378	1700067G17Rik	1.51	-2.89	1.00	1.00
ENSMUSG00000099544	Gm18699	-1.73	-2.88	1.00	1.00
ENSMUSG00000036206	Sh3bp4	0.22	3.56	0.70	1.00
ENSMUSG00000102083	Gm5259	1.39	-2.89	1.00	1.00
ENSMUSG00000101288	Gm28342	-0.21	-2.80	1.00	1.00
ENSMUSG00000099938	C030007H22Rik	-1.73	-2.88	1.00	1.00
ENSMUSG00000055013	Agap1	-0.16	7.25	0.57	1.00
ENSMUSG00000101662	Gm28499	3.50	-2.52	0.31	0.93
ENSMUSG00000034486	Gbx2	-0.93	0.50	0.07	0.39
ENSMUSG00000092627	D130058E05Rik	-0.23	1.07	0.90	1.00
ENSMUSG00000067081	Asb18	-0.30	-0.29	0.87	1.00
ENSMUSG00000026301	Iqca	-0.18	0.52	0.95	1.00
ENSMUSG00000100850	4930434B07Rik	2.77	-2.73	0.78	1.00
ENSMUSG00000044337	Ackr3	1.07	3.78	0.00	0.01
ENSMUSG00000101028	Gm28723	-0.68	-0.56	0.53	1.00
ENSMUSG00000101997	Gm28722	-2.34	-2.44	0.75	1.00
ENSMUSG00000034432	Cops8	0.16	6.68	0.64	1.00
ENSMUSG00000056128	Gm9991	-2.51	-2.80	0.88	1.00
